Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
	0,000000	0,000000	14,740771	-9,076119	26,164793	9,843793	23,957779	36,599194	9,385428	25,498614	25,238107	-6,250000	-4,250000																				
	1,000000	25,573162	14,641358	-9,095240	26,156584	9,800944	23,932088	36,589648	9,395675	25,482576	25,243111	5,777691	-0,623464																				
	2,000000	25,412831	14,551057	-9,067487	26,149136	9,782441	23,962891	36,573494	9,420303	25,507146	25,235175	5,775982	-0,611830																				
	3,000000	25,524350	14,521329	-9,085818	26,153790	9,754015	23,936488	36,560249	9,407531	25,495118	25,230179	5,779399	-0,601254																				
	4,000000	25,364064	14,458159	-9,081486	26,143634	9,724484	23,956226	36,540757	9,437804	25,503160	25,230934	5,777691	-0,592792																				
	5,000000	25,684785	14,482102	-9,070833	26,141279	9,667544	23,940518	36,552240	9,441230	25,486661	25,241176	5,777691	-0,581158																				
	6,000000	25,691764	14,517936	-9,073889	26,134607	9,648461	23,931190	36,552520	9,456230	25,479053	25,235917	5,774274	-0,572697																				
	7,000000	25,489492	14,585019	-9,062183	26,128470	9,609038	23,942767	36,540036	9,473285	25,490590	25,235277	5,777691	-0,568466																				
	8,000000	25,621988	14,691916	-9,067802	26,131221	9,604278	23,936473	36,565701	9,475348	25,504439	25,251255	5,774274	-0,566351																				
	9,000000	25,426767	14,783965	-9,079969	26,152914	9,581836	23,940232	36,605940	9,491162	25,489469	25,240415	5,779399	-0,563178																				
	10,000000	25,761569	14,895358	-9,049064	26,165115	9,604076	23,940887	36,624985	9,506082	25,488872	25,224782	5,782816	-0,562121																				
	11,000000	25,482522	14,944568	-9,096804	26,190320	9,563174	23,934122	36,638772	9,515257	25,488465	25,229504	5,774274	-0,566351																				
	12,000000	25,796482	15,006756	-9,079198	26,221349	9,588092	23,946568	36,676305	9,513219	25,482123	25,240748	5,777691	-0,562121																				
	13,000000	25,677807	15,056095	-9,073710	26,229530	9,585078	23,937611	36,687412	9,530974	25,491957	25,249792	5,779399	-0,564236																				
	14,000000	25,433735	15,144911	-9,048473	26,269768	9,563610	23,945471	36,702367	9,549640	25,482088	25,238050	5,772565	-0,564236																				
	15,000000	25,621988	15,235216	-9,068019	26,266665	9,562238	23,944189	36,683301	9,531303	25,499712	25,220201	5,775982	-0,562121																				
	16,000000	25,580136	14,643727	-9,056669	26,294139	9,560130	23,952862	36,664996	9,528455	25,485469	25,236921	5,774274	-0,562121																				
	17,000000	25,601061	10,179225	-9,060981	26,313094	9,555872	23,929421	36,657161	9,559685	25,494956	25,226780	5,777691	-0,561063																				
	18,000000	25,350133	8,949953	-9,043608	26,308990	9,561190	23,939902	36,656423	9,563457	25,482430	25,229077	5,775982	-0,564236																				
	19,000000	25,712702	9,179608	-9,065323	26,310569	9,568224	23,946495	36,660677	9,565915	25,485640	25,235764	5,781108	-0,565294																				
	20,000000	25,580136	13,352274	-9,082755	26,338535	9,586427	23,946594	36,644762	9,562490	25,492004	25,240329	5,777691	-0,564236																				
	21,000000	25,371029	15,449427	-9,062980	26,333712	9,557221	23,938391	36,676205	9,566305	25,486871	25,236444	5,779399	-0,563178																				
	22,000000	25,663850	15,082309	-9,060223	26,361791	9,539943	23,947306	36,664205	9,591772	25,506351	25,222955	5,775982	-0,563178																				
	23,000000	25,615012	15,371756	-9,050826	26,371861	9,534864	23,931370	36,626757	9,588616	25,494578	25,246178	5,775982	-0,563178																				
	24,000000	25,405863	15,308513	-9,045367	26,356629	9,546186	23,930800	36,624099	9,584016	25,483564	25,233273	5,775982	-0,564236																				
	25,000000	25,391929	13,397739	-9,064486	26,367855	9,531261	23,934731	36,604412	9,577495	25,487992	25,230736	5,777691	-0,563178																				
	26,000000	25,573162	14,213892	-9,065004	26,374708	9,562730	23,924804	36,571472	9,589127	25,501921	25,222256	5,774274	-0,561063																				
	27,000000	25,649895	14,134631	-9,043600	26,355923	9,574273	23,928421	36,558685	9,610396	25,478262	25,225031	5,775982	-0,564236																				
	28,000000	25,803466	14,723166	-9,051512	26,364554	9,551298	23,930657	36,574762	9,597389	25,486717	25,227728	5,774274	-0,564236																				
	29,000000	25,587111	14,380809	-9,060894	26,369349	9,559790	23,928093	36,548294	9,597901	25,486779	25,228741	5,772565	-0,563178																				
	30,000000	25,433735	14,112055	-9,067104	26,370899	9,559165	23,918181	36,554706	9,597280	25,505849	25,229673	5,772565	-0,564236																				
	31,000000	25,768551	12,623090	-9,070297	26,352734	9,546250	23,917240	36,556183	9,597658	25,487323	25,215789	5,775982	-0,563178																				
	32,000000	25,663850	10,321093	-9,041480	26,377005	9,535901	23,914719	36,550552	9,617180	25,482395	25,220862	5,774274	-0,563178																				
	33,000000	25,503434	10,161649	-9,030539	26,363368	9,556746	23,915944	36,542377	9,618263	25,487512	25,214269	5,774274	-0,564236																				
	34,000000	25,503434	9,317899	-9,064194	26,364764	9,574005	23,909948	36,546233	9,618051	25,483225	25,222466	5,774274	-0,564236																				
	35,000000	25,357098	6,120263	-9,051138	26,355356	9,560661	23,912483	36,511457	9,598012	25,488801	25,243921	5,774274	-0,563178																				
	36,000000	25,419799	13,736196	-9,054694	26,380276	9,565630	23,907284	36,505575	9,618787	25,477234	25,210100	5,777691	-0,564236																				
	37,000000	25,621988	14,623157	-9,063311	26,387440	9,570140	23,895449	36,527326	9,614590	25,489746	25,220344	5,775982	-0,563178																				
	38,000000	25,740624	14,832703	-9,024809	26,398214	9,533563	23,909106	36,525742	9,607315	25,497198	25,217266	5,775982	-0,562121																				
	39,000000	25,663850	14,906290	-9,037443	26,392305	9,542619	23,895548	36,538243	9,616306	25,486157	25,219741	5,777691	-0,564236																				
	40,000000	25,545268	14,856633	-9,032148	26,409158	9,564039	23,903495	36,517698	9,614190	25,486875	25,222372	5,772565	-0,563178																				
	41,000000	25,761569	14,714806	-9,052790	26,417943	9,548949	23,887558	36,531839	9,622592	25,485228	25,223170	5,774274	-0,564236																				
	42,000000	25,531322	14,411671	-9,029836	26,409354	9,563991	23,890548	36,534276	9,625834	25,489997	25,225355	5,774274	-0,563178																				
	43,000000	25,454642	14,116428	-9,053832	26,418210	9,568292	23,878015	36,579098	9,625579	25,492930	25,217493	5,774274	-0,563178																				
	44,000000	25,559214	13,487103	-9,063796	26,434851	9,535525	23,888155	36,525434	9,625105	25,482372	25,209616	5,775982	-0,565294																				
	45,000000	25,412831	13,096492	-9,033041	26,428660	9,563055	23,896714	36,552577	9,619625	25,479489	25,199839	5,774274	-0,563178																				
	46,000000	25,775533	13,053907	-9,037136	26,426079	9,561933	23,873926	36,520083	9,613607	25,488782	25,205478	5,779399	-0,562121																				
	47,000000	25,405863	10,343871	-9,044092	26,424809	9,556775	23,868571	36,511372	9,618670	25,468914	25,202025	5,774274	-0,565294																				
	48,000000	25,705723	10,193467	-9,023414	26,410170	9,563613	23,874339	36,529475	9,635266	25,487352	25,217531	5,775982	-0,563178																				
	49,000000	25,517378	9,582338	-9,050953	26,399325	9,566211	23,881161	36,556386	9,611443	25,472238	25,198176	5,774274	-0,564236																				
	50,000000	25,789499	6,260512	-9,036941	26,384418	9,571585	23,860551	36,560504	9,617533	25,470058	25,213269	5,775982	-0,565294																				
	51,000000	25,454642	12,053249	-9,030257	26,360951	9,575004	23,872586	36,550898	9,619042	25,498661	25,204486	5,772565	-0,565294																				
	52,000000	25,594086	13,231897	-9,034239	26,326623	9,582583	23,865322	36,555314	9,622042	25,489650	25,198752	5,772565	-0,566351																				
	53,000000	25,726663	14,081695	-9,037816	26,319938	9,571611	23,852646	36,550184	9,609261	25,496963	25,205804	5,772565	-0,563178																				
	54,000000	25,663850	13,855710	-9,023631	26,297908	9,565349	23,849470	36,564414	9,610964	25,476958	25,198788	5,774274	-0,561063																				
	55,000000	25,747605	14,110591	-9,032731	26,276907	9,577867	23,875661	36,556269	9,609815	25,456871	25,184271	5,772565	-0,564236																				
	56,000000	25,775533	13,978260	-9,048857	26,241788	9,591995	23,855565	36,567794	9,612906	25,463030	25,213926	5,772565	-0,563178																				
	57,000000	25,719682	10,671647	-9,018640	26,222000	9,574547	23,862059	36,565602	9,628018	25,489770	25,187461	5,775982	-0,565294																				
	58,000000	25,824418	10,477635	-9,022059	26,169855	9,583664	23,868098	36,564493	9,619343	25,481216	25,184285	5,772565	-0,563178																				
	59,000000	25,761569	9,951281	-9,017522	26,143182	9,589375	23,854125	36,567831	9,631048	25,473421	25,203182	5,772565	-0,563178																				
	60,000000	25,775533	9,110026	-9,031068	26,101740	9,607773	23,859495	36,558756	9,602924	25,458546	25,199668	5,772565	-0,564236																				
	61,000000	25,621988	8,291527	-9,045960	26,069889	9,589173	23,859366	36,583521	9,601051	25,467283	25,187814	5,774274	-0,564236																				
	62,000000	25,817433	7,530912	-8,991776	26,037629	9,575646	23,852159	36,540809	9,595163	25,472165	25,187640	5,770856	-0,564236																				
	63,000000	25,719682	6,849036	-9,003319	26,021054	9,596900	23,831164	36,565175	9,611741	25,465755	25,198435	5,772565	-0,564236																				
	64,000000	25,649895	6,246876	-9,021486	26,016455	9,601423	23,855036	36,556274	9,635845	25,480956	25,178314	5,772565	-0,561063																				
	65,000000	25,712702	5,731019	-9,055186	26,007539	9,596362	23,849737	36,560588	9,621391	25,463301	25,195751	5,772565	-0,563178																				
	66,000000	25,454642	5,249998	-9,037380	25,997947	9,599518	23,828016	36,569938	9,614341	25,465611	25,180408	5,774274	-0,562121																				
	67,000000	25,405863	4,843282	-9,021324	25,994660	9,621213	23,833029	36,581803	9,591376	25,459621	25,186305	5,770856	-0,561063																				
	68,000000	25,761569	4,460430	-9,043544	25,996790	9,601517	23,834069	36,557474	9,600861	25,467453	25,189509	5,769148	-0,564236																				
	69,000000	25,691764	4,111666	-9,034534	25,962439	9,619701	23,846602	36,555580	9,631742	25,474820	25,181018	5,772565	-0,566351																				
	70,000000	25,691764	3,799781	-9,019871	25,982456	9,603521	23,824782	36,550926	9,626613	25,464343	25,180642	5,772565	-0,565294																				
		25,845373	3,531626	-9,020955	25,977886	9,601176	23,826832	36,541625	9,606557	25,457943	25,167480	5,772565	-0,563178																				
		25,587111																															
